Impact priorities,Strategic Themes,Mode,Focus Area,Modern Industrial Strategy,DfT 
Both,Autonomy,HIT,HIT - Integrated Connected & Autonomous Mobility,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Planning and Operation,HIT,HIT - Integrated Connected & Autonomous Mobility,Digital and Technologies,"Integrated Strategy - Work in partnership with local leaders, collaborators and experts"
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",People Experience,HIT,HIT - Integrated Mode Change Places,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Hubs and Clusters,HIT,HIT - Integrated Mode Change Places,Foundational industries and inputs,Integrated Strategy - Put people's needs at the heart of everything we do
Transport and infrastructure emits greenhouse gas,Decarbonisation,HIT,HIT - Decarbonised Clean Road & Off-Highway Mobility,Advanced Manufacturing,Integrated Strategy - Use transport to create better connected places across the country
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Planning and Operation,HIT,"HIT - Integrated Public Mobility Ticketing, Payment & Settlement",cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
"Public transport, shared transport infrastructure are more efficient, inclusive and safe",Planning and Operation,HIT,HIT - Smart & Accessible Integrated Operations and Assets,cross cutting - strengthen connection (Transport infrastructure),Integrated Strategy - Put people's needs at the heart of everything we do
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
